Room Name,D1 Device,Available Ports in D1,Has SW1,Available Ports in SW1
EB-228,SonyXBR,2,False,0
EB-230A,SonyXBR,2,False,0
EB-240J,SonyXBR,0,False,0
EB-246A,SonyXBR,2,False,0
EB-250,SonyXBR,2,True,2
EB-302,SonyXBR,0,False,0
EB-304A,SonyXBR,1,False,0
EB-304B,SonyXBR,2,False,0
EB-304C,SonyXBR,2,False,0
EB-305,SonyXBR,2,False,0
EB-307,SonyXBR,2,False,0
EB-309,SonyXBR,2,False,0
EB-312,SonyXBR,2,False,0
EB-312A,SonyXBR,2,False,0
EB-321,Sony VPL,2,False,0
EB-325,Sony VPL,2,False,0
EB-330E,SonyXBR,1,False,0
EB-330R,SonyXBR,2,False,0
EB-336,SonyXBR,1,False,0
EB-342XA,SonyXBR,0,False,0
EB-342XB,SonyXBR,2,False,0
EB-342XC,SonyXBR,2,False,0
EB-342XD,SonyXBR,2,False,0
EB-342XE,SonyXBR,2,False,0
EB-346,SonyXBR,2,False,0
EB-360A,SonyXBR,2,False,0
EB-402,SonyXBR,0,False,0
EB-404,Sony VPL,2,True,0
EB-405,SonyXBR,2,False,0
EB-406A,SonyXBR,1,False,0
EB-406B,SonyXBR,2,False,0
EB-407,SonyXBR,2,False,0
EB-408,SonyXBR,1,False,0
EB-409,SonyXBR,2,False,0
EB-423,Sony VPL,0,False,0
EB-425,Sony Projector No Audio,2,True,2
EB-429,SonyXBR,2,False,0
EB-430R,SonyXBR,2,False,0
EB-436,SonyXBR,1,False,0
EB-438,SonyXBR,3,True,0
EB-446,SonyXBR,2,False,0
EB-460A,SonyXBR,2,False,0
EB-B106,SonyXBR,2,False,0
EB-B136,SonyXBR,2,False,0
ENSN-707,Sony VPL,2,False,0
ERL-210,SonyXBR,3,False,0
ESC-C153,Sony VPL,2,True,0
ESC-C215,Sony VPL,2,True,0
ESC-C247,Sony VPL,2,True,0
ESC-C254,Sony PHZ10,2,True,0
ESC-C255,Sony Projector No Audio,2,True,0
ESC-C258,Sony Projector No Audio,2,True,1
ESC-C261,Sony PHZ10,2,True,0
ESC-C266,Sony PHZ10,2,True,0
ESC-C285,Sony PHZ10,2,True,0
ESC-C295,Sony Projector No Audio,2,True,1
ESC-C381,Sony XBR No Audio,3,True,2
ESC-C396,Sony VPL,1,False,0
ESC-C435,Sony VPL,1,False,0
ESC-C460,Sony VPL,2,True,0
ESC-C465,Sony Projector No Audio,2,True,0
ESC-N127,Sony VPL,2,True,0
ESC-N131,Sony PHZ10,2,True,0
ESC-N181D,SonyXBR,1,True,0
ESC-N209,SonyXBR,2,False,0
ESC-N212,Sony Projector No Audio,2,True,0
ESC-N288,Sony PHZ10,2,True,0
ESC-N309,SonyXBR,1,False,0
ESC-N485,SonyXBR,2,False,0
ESC-S134,SonyXBR,1,False,0
ESC-S145,SonyXBR,1,False,0
ESC-S228,SonyXBR,3,True,0
ESC-S232,Sony PHZ10,2,True,1
ESC-S288,SonyXBR,1,False,0
HBLL-1060,pjlink-projector,2,True,0
HBLL-1129,SonyXBR,0,False,0
HBLL-1131,Sony Projector No Audio,2,True,0
HBLL-1213,SonyXBR,1,False,0
HBLL-1214,SonyXBR,1,False,0
HBLL-1215,SonyXBR,1,False,0
HBLL-1216,SonyXBR,1,False,0
HBLL-2070,SonyXBR,0,False,0
HBLL-2103,SonyXBR,1,False,0
HBLL-2104,SonyXBR,1,False,0
HBLL-2202,SonyXBR,2,False,0
HBLL-2212,Sony VPL,2,True,0
HBLL-2218F,Sony VPL,1,False,0
HBLL-2231,Sony VPL,2,True,0
HBLL-2232,Sony Projector No Audio,2,True,2
HBLL-2233,Sony VPL,2,True,0
HBLL-2234,Sony VPL,2,True,0
HBLL-2238,SonyXBR,0,False,0
HBLL-2240,Sony Projector No Audio,2,True,0
HBLL-2242,SonyXBR,1,False,0
HBLL-2711,SonyXBR,1,False,0
HBLL-2714,SonyXBR,1,False,0
HBLL-2720G,SonyXBR,2,False,0
HBLL-2720H,SonyXBR,2,False,0
HBLL-2740,Sony Projector No Audio,2,False,0
HBLL-3340B,SonyXBR,2,False,0
HBLL-3410XA,SonyXBR,0,False,0
HBLL-3410XB,SonyXBR,0,False,0
HBLL-3710,Sony VPL,2,True,0
HBLL-3712,Sony PHZ10,2,True,0
HBLL-3714,Sony Projector No Audio,1,True,0
HBLL-3718,Sony Projector No Audio,2,True,1
HBLL-3760D,Sony Projector No Audio,2,True,1
HBLL-3770A,SonyXBR,2,True,0
HBLL-3815,SonyXBR,0,False,0
HBLL-4360,SonyXBR,1,False,0
HBLL-4361,SonyXBR,1,False,0
HBLL-4362,SonyXBR,1,False,0
HBLL-4363,SonyXBR,2,False,0
HBLL-4507,SonyXBR,0,False,0
HBLL-4722,SonyXBR,3,False,0
HBLL-4722A,SonyXBR,1,False,0
HBLL-4722B,SonyXBR,1,False,0
HBLL-4826,SonyXBR,2,False,0
HBLL-5438,SonyXBR,1,False,0
HBLL-5444,SonyXBR,1,False,0
HBLL-5453,SonyXBR,1,False,0
HBLL-5723,SonyXBR,0,False,0
HBLL-5724,SonyXBR,0,False,0
HBLL-5725,SonyXBR,1,False,0
HBLL-6525,Sony Projector No Audio,2,True,0
